name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Ornithobacterium rhinotracheale	28251	S	77	13	90	0.00000
Cruoricaptor ignavus	1118202	S	32	5	37	0.00000
Owenweeksia hongkongensis	253245	S	62	0	62	0.00000
Candidatus Karelsulcia muelleri	336810	S	11	1	12	0.00000
Mucilaginibacter ginsenosidivorans	398053	S	34	183	217	0.00001
Mucilaginibacter mali	2740462	S	30	219	249	0.00001
Pedobacter ginsengisoli	363852	S	176	14	190	0.00001
Pedobacter sp. G11	2482728	S	23	1	24	0.00000
Pedobacter steynii	430522	S	26	1	27	0.00000
Solitalea lacus	2911172	S	89	5	94	0.00000
Solitalea canadensis	995	S	54	2	56	0.00000
Sphingobacterium sp. DR205	2713573	S	20	1	21	0.00000
Sphingobacterium sp.	341027	S	14	7	21	0.00000
Sphingobacterium thalpophilum	259	S	41	5	46	0.00000
Chitinophaga alhagiae	2203219	S	155	25	180	0.00001
Chitinophaga sp. XS-30	2604421	S	30	4	34	0.00000
Chitinophaga sp. HK235	2952571	S	11	6	17	0.00000
Chitinophaga oryzae	2725414	S	40	21	61	0.00000
Chitinophaga pinensis	79329	S	24	22	46	0.00000
Chitinophaga horti	2920382	S	12	2	14	0.00000
Arachidicoccus soli	2341117	S	157	12	169	0.00001
Ferruginibacter albus	2875540	S	78	4	82	0.00000
Lacibacter sediminis	2760713	S	49	3	52	0.00000
Niabella ginsenosidivorans	1176587	S	23	1	24	0.00000
Phnomibacter ginsenosidimutans	2676868	S	27	2	29	0.00000
Niastella koreensis	354356	S	13	1	14	0.00000
Thermoflavifilum sp.	1968839	S	13	0	13	0.00000
Flavisolibacter ginsenosidimutans	661481	S	12	0	12	0.00000
Haliscomenobacter hydrossis	2350	S	79	0	79	0.00000
Candidatus Sulfidibacterium hydrothermale	2875962	S	56	0	56	0.00000
Chlorobaculum tepidum	1097	S	286	3	289	0.00001
Chlorobaculum sp. MV4-Y	2976335	S	217	2	219	0.00001
Chlorobaculum parvum	274539	S	18	0	18	0.00000
Chlorobaculum limnaeum	274537	S	10	0	10	0.00000
Prosthecochloris sp. HL-130-GSB	1974213	S	44	5	49	0.00000
Prosthecochloris sp. GSB1	281093	S	30	1	31	0.00000
