name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Aminipila luticellarii	0	0	6e-5	0	1e-5	1e-5
Aminipila terrae	0	0	1e-5	0	0	0
Emergencia timonensis	1e-5	0	5e-5	1e-5	3e-5	3e-5
Thermaerobacter sp. PB12/4term	1e-5	0	1e-5	1e-5	0	1e-5
Thermaerobacter marianensis	1e-5	0	1e-5	1e-5	0	1e-5
Proteiniborus sp. MB09-C3	0	0	1e-5	0	0	1e-5
Carboxydocella thermautotrophica	0	0	0	0	0	0
Fenollaria sporofastidiosus	0	0	0	0	0	1e-5
Intestinibacillus sp. NTUH-41-i26	9e-4	1e-4	3.1e-4	3.7e-4	2.9e-4	3.8e-4
Eubacterium callanderi	4.2e-4	3e-5	9.8e-4	8e-5	3e-5	1.5e-4
Eubacterium ventriosum	1.3e-4	8e-5	3.1e-4	0.00177	8e-5	1.6e-4
Eubacterium maltosivorans	5e-5	1e-5	1.2e-4	2e-5	4e-5	6e-5
Eubacterium sp. MSJ-33	4e-5	0	3.9e-4	1e-5	3.4e-4	2e-4
Eubacterium limosum	2e-5	1e-5	4e-5	6e-5	1e-5	3e-5
uncultured Acetobacterium sp.	0	0	1e-5	0	0	0
Acetobacterium sp. KB-1	0	0	1e-5	0	0	0
Acetobacterium wieringae	0	0	1e-5	0	0	0
Acetobacterium woodii	0	0	0	0	0	0
Alkalibacter rhizosphaerae	0	0	2e-5	0	1e-5	1e-5
Clostridium sp. M62/1	7.2e-4	1.6e-4	0.00137	1.9e-4	1.7e-4	9.9e-4
Clostridium sp. SY8519	1.7e-4	1e-5	1.8e-4	1e-5	2e-5	1e-4
Clostridium sp. LQ25	4e-5	0	0	1e-5	1e-5	2e-5
Clostridium sp. C1	1e-5	0	1e-5	0	0	0
Clostridium sp. MD294	1e-5	0	2e-5	0	0	2e-5
Clostridium sp. JN-1	0	0	0	0	0	0
Clostridium sp. JN-9	0	0	0	0	0	0
Clostridium sp. BJN0001	0	0	0	0	0	0
Clostridium sp. OS1-26	0	0	1e-5	0	0	0
Clostridium sp. 'deep sea'	0	0	0	0	0	0
Clostridium sp. BNL1100	0	0	0	0	0	0
Clostridium sp. 001	0	0	1e-5	0	0	0
Clostridium perfringens	6e-5	7e-5	4e-5	1e-5	0	5e-5
Clostridium cadaveris	2e-5	0	9e-5	4e-5	7e-5	6e-5
Clostridium intestinale	1e-5	0	1e-5	0	0	0
Clostridium pasteurianum	0	0	1e-5	0	0	0
Clostridium estertheticum	0	0	0	0	0	0
